filename,width,height,class,xmin,ymin,xmax,ymax
944281d0485869f0_jpg.rf.e5e018531362887fed53a198f15bc095.jpg,416,416,license-plate,169,255,259,341
944281d0485869f0_jpg.rf.e5e018531362887fed53a198f15bc095.jpg,416,416,vehicle,49,0,415,415
b01d46f9911d558b_jpg.rf.e173ce2e74a946f5d7699fed4b2430fc.jpg,416,416,license-plate,164,132,256,224
b01d46f9911d558b_jpg.rf.e173ce2e74a946f5d7699fed4b2430fc.jpg,416,416,vehicle,0,0,416,415
3ed000628c6a0587_jpg.rf.ee04a5eaab345281520634902816a9bb.jpg,416,416,license-plate,173,220,219,258
3ed000628c6a0587_jpg.rf.ee04a5eaab345281520634902816a9bb.jpg,416,416,vehicle,76,107,305,369
1f0e643b125f00ec_jpg.rf.e24a4bdd168a8b7bc4da455a76e103b1.jpg,416,416,license-plate,297,277,333,310
1f0e643b125f00ec_jpg.rf.e24a4bdd168a8b7bc4da455a76e103b1.jpg,416,416,vehicle,0,39,385,393
1f0e643b125f00ec_jpg.rf.e24a4bdd168a8b7bc4da455a76e103b1.jpg,416,416,vehicle,165,8,276,122
1f0e643b125f00ec_jpg.rf.e24a4bdd168a8b7bc4da455a76e103b1.jpg,416,416,vehicle,204,25,365,146
1f0e643b125f00ec_jpg.rf.e24a4bdd168a8b7bc4da455a76e103b1.jpg,416,416,vehicle,344,0,416,98
28e26a4eb646c67a_jpg.rf.ebc297ef09ec5a7f8dcb0d0989d793ad.jpg,416,416,license-plate,185,229,264,269
28e26a4eb646c67a_jpg.rf.ebc297ef09ec5a7f8dcb0d0989d793ad.jpg,416,416,vehicle,71,63,313,340
02a6ef3d9bd68e91_jpg.rf.f6172d85f89f248839c13f938daf08f1.jpg,416,416,license-plate,61,168,85,187
02a6ef3d9bd68e91_jpg.rf.f6172d85f89f248839c13f938daf08f1.jpg,416,416,license-plate,388,62,416,71
02a6ef3d9bd68e91_jpg.rf.f6172d85f89f248839c13f938daf08f1.jpg,416,416,vehicle,23,31,363,208
02a6ef3d9bd68e91_jpg.rf.f6172d85f89f248839c13f938daf08f1.jpg,416,416,vehicle,345,11,416,122
